num_sylls,combo_no,syll_no,note_vals,add_length,bar_start,bar_end
7,7-520,3,0.5,"","",""
7,7-520,4,1,.,"",""
7,7-520,5,0.5,"","",|
7,7-520,6,1.5,..,"",""
7,7-520,7,0.5,"","",|
7,7-542,1,1,.,|#,""
7,7-542,2,0.5,"","",""
7,7-542,3,0.5,"","",|
7,7-542,4,1.5,..,"",""
7,7-542,5,0.5,"","",|
7,7-542,6,1.5,..,"",""
7,7-542,7,0.5,"","",|
7,7-544,1,0.5,"",|#,""
7,7-544,2,1,.,"",""
7,7-544,3,0.5,"","",|
7,7-544,4,1.5,..,"",""
7,7-544,5,0.5,"","",|
7,7-544,6,1.5,..,"",""
7,7-544,7,0.5,"","",|
7,7-550,1,0.5,"",|#,""
7,7-550,2,0.5,"","",""
7,7-550,3,1,.,"",|
7,7-550,4,1.5,..,"",""
7,7-550,5,0.5,"","",|
7,7-550,6,1.5,..,"",""
7,7-550,7,0.5,"","",|
7,7-570,1,1.5,..,|#,""
7,7-570,2,0.5,"","",|
7,7-570,3,0.5,"","",""
7,7-570,4,0.5,"","",""
7,7-570,5,1,.,"",|
7,7-570,6,1.5,..,"",""
7,7-570,7,0.5,"","",|
7,7-572,1,1,.,|#,""
7,7-572,2,1,.,"",|
7,7-572,3,0.5,"","",""
7,7-572,4,0.5,"","",""
7,7-572,5,1,.,"",|
7,7-572,6,1.5,..,"",""
7,7-572,7,0.5,"","",|
7,7-574,1,0.5,"",|#,""
7,7-574,2,1.5,..,"",|
7,7-574,3,0.5,"","",""
7,7-574,4,0.5,"","",""
7,7-574,5,1,.,"",|
7,7-574,6,1.5,..,"",""
7,7-574,7,0.5,"","",|
7,7-596,1,1,.,|#,""
7,7-596,2,0.5,"","",""
7,7-596,3,0.5,"","",|
7,7-596,4,1,.,"",""
7,7-596,5,1,.,"",|
7,7-596,6,1.5,..,"",""
7,7-596,7,0.5,"","",|
7,7-598,1,0.5,"",|#,""
7,7-598,2,1,.,"",""
7,7-598,3,0.5,"","",|
7,7-598,4,1,.,"",""
7,7-598,5,1,.,"",|
7,7-598,6,1.5,..,"",""
7,7-598,7,0.5,"","",|
7,7-604,1,0.5,"",|#,""
7,7-604,2,0.5,"","",""
7,7-604,3,1,.,"",|
7,7-604,4,1,.,"",""
7,7-604,5,1,.,"",|
7,7-604,6,1.5,..,"",""
7,7-604,7,0.5,"","",|
7,7-650,1,1,.,|#,""
7,7-650,2,0.5,"","",""
7,7-650,3,0.5,"","",|
7,7-650,4,0.5,"","",""
7,7-650,5,1.5,..,"",|
7,7-650,6,1.5,..,"",""
7,7-650,7,0.5,"","",|
7,7-652,1,0.5,"",|#,""
7,7-652,2,1,.,"",""
7,7-652,3,0.5,"","",|
7,7-652,4,0.5,"","",""
7,7-652,5,1.5,..,"",|
7,7-652,6,1.5,..,"",""
7,7-652,7,0.5,"","",|
7,7-658,1,0.5,"",|#,""
7,7-658,2,0.5,"","",""
7,7-658,3,1,.,"",|
7,7-658,4,0.5,"","",""
7,7-658,5,1.5,..,"",|
7,7-658,6,1.5,..,"",""
7,7-658,7,0.5,"","",|
7,7-730,1,0.5,"",|#,""
7,7-730,2,0.5,"","",""
7,7-730,3,0.5,"","",""
7,7-730,4,0.5,"","",|
7,7-730,5,0.5,"","",""
7,7-730,6,0.5,"","",""
7,7-730,7,1,.,"",|
7,7-750,1,1.5,..,|#,""
7,7-750,2,0.5,"","",|
7,7-750,3,1.5,..,"",""
7,7-750,4,0.5,"","",|
7,7-750,5,0.5,"","",""
7,7-750,6,0.5,"","",""
7,7-750,7,1,.,"",|
7,7-752,1,1,.,|#,""
7,7-752,2,1,.,"",|
7,7-752,3,1.5,..,"",""
7,7-752,4,0.5,"","",|
7,7-752,5,0.5,"","",""
7,7-752,6,0.5,"","",""
7,7-752,7,1,.,"",|
7,7-754,1,0.5,"",|#,""
7,7-754,2,1.5,..,"",|
7,7-754,3,1.5,..,"",""
7,7-754,4,0.5,"","",|
7,7-754,5,0.5,"","",""
7,7-754,6,0.5,"","",""
7,7-754,7,1,.,"",|
7,7-768,1,1.5,..,|#,""
7,7-768,2,0.5,"","",|
7,7-768,3,1,.,"",""
7,7-768,4,1,.,"",|
7,7-768,5,0.5,"","",""
7,7-768,6,0.5,"","",""
7,7-768,7,1,.,"",|
7,7-770,1,1,.,|#,""
7,7-770,2,1,.,"",|
7,7-770,3,1,.,"",""
7,7-770,4,1,.,"",|
